src_ip,dst_ip,protocol,length
192.168.73.128,192.168.73.2,17,88
192.168.73.128,192.168.73.2,17,95
192.168.73.128,192.168.73.2,17,95
192.168.73.128,192.168.73.2,17,88
192.168.73.2,192.168.73.128,17,111
192.168.73.2,192.168.73.128,17,193
192.168.73.2,192.168.73.128,17,104
192.168.73.2,192.168.73.128,17,169
192.168.73.128,34.36.137.203,6,74
34.36.137.203,192.168.73.128,6,60
192.168.73.128,34.36.137.203,6,54
192.168.73.128,34.36.137.203,6,730
34.36.137.203,192.168.73.128,6,60
192.168.73.128,192.168.73.2,17,85
192.168.73.128,192.168.73.2,17,85
192.168.73.128,192.168.73.2,17,87
192.168.73.128,192.168.73.2,17,87
192.168.73.2,192.168.73.128,17,101
192.168.73.2,192.168.73.128,17,103
34.36.137.203,192.168.73.128,6,1466
192.168.73.128,34.36.137.203,6,54
34.36.137.203,192.168.73.128,6,1466
192.168.73.2,192.168.73.128,17,115
34.36.137.203,192.168.73.128,6,316
192.168.73.128,34.36.137.203,6,54
192.168.73.128,34.36.137.203,6,54
192.168.73.128,142.251.222.74,6,74
192.168.73.128,34.36.137.203,6,118
34.36.137.203,192.168.73.128,6,60
192.168.73.128,34.36.137.203,6,146
192.168.73.128,34.36.137.203,6,252
34.36.137.203,192.168.73.128,6,60
34.36.137.203,192.168.73.128,6,60
142.251.222.74,192.168.73.128,6,60
192.168.73.128,142.251.222.74,6,54
192.168.73.128,142.251.222.74,6,729
142.251.222.74,192.168.73.128,6,60
34.36.137.203,192.168.73.128,6,672
192.168.73.128,34.36.137.203,6,85
34.36.137.203,192.168.73.128,6,60
192.168.73.2,192.168.73.128,17,166
192.168.73.128,192.168.73.2,17,97
192.168.73.128,192.168.73.2,17,97
192.168.73.128,34.107.243.93,6,74
192.168.73.2,192.168.73.128,17,113
34.36.137.203,192.168.73.128,6,85
142.251.222.74,192.168.73.128,6,4547
192.168.73.128,142.251.222.74,6,54
34.107.243.93,192.168.73.128,6,60
192.168.73.128,34.107.243.93,6,54
192.168.73.128,34.107.243.93,6,727
34.107.243.93,192.168.73.128,6,60
192.168.73.2,192.168.73.128,17,187
192.168.73.128,34.149.100.209,6,74
192.168.73.128,34.36.137.203,6,54
192.168.73.128,192.168.73.2,17,70
192.168.73.128,192.168.73.2,17,70
34.149.100.209,192.168.73.128,6,60
192.168.73.128,34.149.100.209,6,54
192.168.73.128,34.149.100.209,6,739
34.149.100.209,192.168.73.128,6,60
34.107.243.93,192.168.73.128,6,3133
192.168.73.128,34.107.243.93,6,54
192.168.73.128,34.107.243.93,6,118
34.107.243.93,192.168.73.128,6,60
192.168.73.128,34.107.243.93,6,146
34.107.243.93,192.168.73.128,6,60
192.168.73.2,192.168.73.128,17,86
192.168.73.2,192.168.73.128,17,133
34.36.137.203,192.168.73.128,6,198
34.149.100.209,192.168.73.128,6,3228
34.107.243.93,192.168.73.128,6,672
192.168.73.128,34.36.137.203,6,54
192.168.73.128,34.149.100.209,6,54
192.168.73.128,34.107.243.93,6,85
34.107.243.93,192.168.73.128,6,60
192.168.73.128,34.36.137.203,6,93
192.168.73.128,142.250.192.35,6,74
34.36.137.203,192.168.73.128,6,60
192.168.73.128,34.107.243.93,6,74
192.168.73.128,34.149.100.209,6,118
34.149.100.209,192.168.73.128,6,60
192.168.73.128,34.149.100.209,6,146
192.168.73.128,34.149.100.209,6,320
34.149.100.209,192.168.73.128,6,60
34.149.100.209,192.168.73.128,6,60
34.107.243.93,192.168.73.128,6,85
34.149.100.209,192.168.73.128,6,672
192.168.73.128,34.149.100.209,6,85
34.149.100.209,192.168.73.128,6,60
192.168.73.128,192.168.73.2,17,71
192.168.73.128,192.168.73.2,17,71
192.168.73.128,192.168.73.2,17,71
192.168.73.128,192.168.73.2,17,73
192.168.73.128,192.168.73.2,17,73
192.168.73.128,192.168.73.2,17,84
34.107.243.93,192.168.73.128,6,60
142.250.192.35,192.168.73.128,6,60
192.168.73.2,192.168.73.128,17,87
192.168.73.2,192.168.73.128,17,87
192.168.73.128,34.107.243.93,6,54
192.168.73.128,142.250.192.35,6,54
192.168.73.128,142.250.192.35,6,481
192.168.73.128,192.168.73.2,17,84
192.168.73.128,192.168.73.2,17,84
142.250.192.35,192.168.73.128,6,60
192.168.73.128,34.107.243.93,6,1300
34.107.243.93,192.168.73.128,6,60
192.168.73.2,192.168.73.128,17,89
34.149.100.209,192.168.73.128,6,862
192.168.73.128,34.149.100.209,6,93
